"contrast","estimate","SE","df","z.ratio","p.value"
"(c_norm-0.236250486445713 AB) - (c_norm-0.203437986445713 AB)",-0.233620156838875,0.0594840540494616,Inf,-3.92744174169126,8.58542081376392e-05
"(c_norm-0.236250486445713 AB) - (c_norm-0.10291715311238 AB)",-0.949313653186537,0.24171298153432,Inf,-3.92744174169126,8.5854208137639e-05
"(c_norm-0.236250486445713 AB) - c_norm0.138749513554287 AB",-2.66994464958714,0.679817760565276,Inf,-3.92744174169126,8.5854208137639e-05
"(c_norm-0.236250486445713 AB) - c_norm0.491022240827014 AB",-5.17807447192657,1.31843444473266,Inf,-3.92744174169126,8.58542081376392e-05
"(c_norm-0.236250486445713 AB) - c_norm0.648364898169672 AB",-6.29833096825685,1.60367266594886,Inf,-3.92744174169126,8.58542081376392e-05
"(c_norm-0.236250486445713 AB) - (c_norm-0.236250486445713 BA)",-7.61131117626106,1.60729065079132,Inf,-4.73549147599022,2.18524890014216e-06
"(c_norm-0.236250486445713 AB) - (c_norm-0.203437986445713 BA)",-7.49972769375229,1.59292829345413,Inf,-4.70813891910336,2.49988715419204e-06
"(c_norm-0.236250486445713 AB) - (c_norm-0.10291715311238 BA)",-7.15789258066987,1.55469561683105,Inf,-4.60404757251447,4.14357746241315e-06
"(c_norm-0.236250486445713 AB) - c_norm0.138749513554287 BA",-6.33607137616084,1.50134049054421,Inf,-4.2202760906449,2.44003302904658e-05
"(c_norm-0.236250486445713 AB) - c_norm0.491022240827014 BA",-5.13811883667276,1.52833406148657,Inf,-3.36190821506329,0.00077405848495902
"(c_norm-0.236250486445713 AB) - c_norm0.648364898169672 BA",-4.60305318628106,1.57948200273594,Inf,-2.91428023763978,0.00356509717884635
"(c_norm-0.203437986445713 AB) - (c_norm-0.10291715311238 AB)",-0.715693496347662,0.182228927484858,Inf,-3.92744174169126,8.5854208137639e-05
"(c_norm-0.203437986445713 AB) - c_norm0.138749513554287 AB",-2.43632449274827,0.620333706515814,Inf,-3.92744174169126,8.58542081376392e-05
"(c_norm-0.203437986445713 AB) - c_norm0.491022240827014 AB",-4.9444543150877,1.25895039068319,Inf,-3.92744174169126,8.5854208137639e-05
"(c_norm-0.203437986445713 AB) - c_norm0.648364898169672 AB",-6.06471081141797,1.54418861189939,Inf,-3.92744174169126,8.58542081376392e-05
"(c_norm-0.203437986445713 AB) - (c_norm-0.236250486445713 BA)",-7.37769101942218,1.57172693940716,Inf,-4.6940030322347,2.67910058540231e-06
