"contrast","estimate","SE","df","z.ratio","p.value"
"(c_norm-0.236250486445713 AB A) - (c_norm-0.203437986445713 AB A)",0.0773237758899561,0.0253644219896101,Inf,3.04851322540012,0.00229976789726141
"(c_norm-0.236250486445713 AB A) - (c_norm-0.10291715311238 AB A)",0.314204549648075,0.103068127449844,Inf,3.04851322540012,0.00229976789726142
"(c_norm-0.236250486445713 AB A) - c_norm0.138749513554287 AB A",0.883700295885213,0.289879108452687,Inf,3.04851322540012,0.00229976789726142
"(c_norm-0.236250486445713 AB A) - c_norm0.491022240827014 AB A",1.71384299808041,0.56218978609006,Inf,3.04851322540012,0.00229976789726142
"(c_norm-0.236250486445713 AB A) - c_norm0.648364898169672 AB A",2.08462633901127,0.683817384042237,Inf,3.04851322540012,0.00229976789726142
"(c_norm-0.236250486445713 AB A) - (c_norm-0.236250486445713 BA A)",-5.39624914905269,1.5902686699384,Inf,-3.39329400815128,0.000690574754066594
"(c_norm-0.236250486445713 AB A) - (c_norm-0.203437986445713 BA A)",-5.06825212125507,1.54091040687232,Inf,-3.28912836116308,0.00100498179163367
"(c_norm-0.236250486445713 AB A) - (c_norm-0.10291715311238 BA A)",-4.06343582974807,1.40249155936481,Inf,-2.89729788576297,0.00376392177610085
"(c_norm-0.236250486445713 AB A) - c_norm0.138749513554287 BA A",-1.64771168850844,1.18107662619157,Inf,-1.3950929617679,0.162987808322508
"(c_norm-0.236250486445713 AB A) - c_norm0.491022240827014 BA A",1.87364168351798,1.26175070877237,Inf,1.48495393780357,0.13755602638804
"(c_norm-0.236250486445713 AB A) - c_norm0.648364898169672 BA A",3.44645460402607,1.44052993660087,Inf,2.39249078860413,0.0167344481507483
"(c_norm-0.236250486445713 AB A) - (c_norm-0.236250486445713 AB B)",15.453234739907,2.86806735193812,Inf,5.38803062956817,7.12339145193882e-08
"(c_norm-0.236250486445713 AB A) - (c_norm-0.203437986445713 AB B)",14.9086706503393,2.78783439024454,Inf,5.34776050633035,8.90491885523768e-08
"(c_norm-0.236250486445713 AB A) - (c_norm-0.10291715311238 AB B)",13.2404028838859,2.55976064352109,Inf,5.17251599964947,2.30962715755071e-07
"(c_norm-0.236250486445713 AB A) - c_norm0.138749513554287 AB B",9.22964514484754,2.16156731934693,Inf,4.26988558822035,1.95573265617252e-05
"(c_norm-0.236250486445713 AB A) - c_norm0.491022240827014 AB B",3.38324279797347,2.14339252709524,Inf,1.57845226910374,0.114461745304298
"(c_norm-0.236250486445713 AB A) - c_norm0.648364898169672 AB B",0.771946464382064,2.36208361175294,Inf,0.326807425673298,0.743813542690783
"(c_norm-0.236250486445713 AB A) - (c_norm-0.236250486445713 BA B)",5.62686153643762,0.813131686883755,Inf,6.91998802555832,4.51681823527664e-12
"(c_norm-0.236250486445713 AB A) - (c_norm-0.203437986445713 BA B)",5.52203147365753,0.795862427652045,Inf,6.93842463445428,3.96496417140679e-12
"(c_norm-0.236250486445713 AB A) - (c_norm-0.10291715311238 BA B)",5.20088540831537,0.751128703710602,Inf,6.92409354431912,4.38775912675448e-12
"(c_norm-0.236250486445713 AB A) - c_norm0.138749513554287 BA B",4.4288036760938,0.704306227430772,Inf,6.28817906700834,3.2121128430896e-10
"(c_norm-0.236250486445713 AB A) - c_norm0.491022240827014 BA B",3.30335538304354,0.80326472073389,Inf,4.11241188337698,3.91546935920185e-05
"(c_norm-0.236250486445713 AB A) - c_norm0.648364898169672 BA B",2.80067376331885,0.898394182595718,Inf,3.1174219708624,0.00182440234571491
"(c_norm-0.203437986445713 AB A) - (c_norm-0.10291715311238 AB A)",0.236880773758119,0.0777037054602341,Inf,3.04851322540012,0.00229976789726143
"(c_norm-0.203437986445713 AB A) - c_norm0.138749513554287 AB A",0.806376519995257,0.264514686463077,Inf,3.04851322540012,0.00229976789726142
"(c_norm-0.203437986445713 AB A) - c_norm0.491022240827014 AB A",1.63651922219046,0.53682536410045,Inf,3.04851322540012,0.00229976789726142
"(c_norm-0.203437986445713 AB A) - c_norm0.648364898169672 AB A",2.00730256312132,0.658452962052627,Inf,3.04851322540012,0.00229976789726141
"(c_norm-0.203437986445713 AB A) - (c_norm-0.236250486445713 BA A)",-5.47357292494265,1.58752150800462,Inf,-3.44787323972855,0.000565019142900674
"(c_norm-0.203437986445713 AB A) - (c_norm-0.203437986445713 BA A)",-5.14557589714503,1.53803042115597,Inf,-3.34556184739029,0.000821160434662555
"(c_norm-0.203437986445713 AB A) - (c_norm-0.10291715311238 BA A)",-4.14075960563803,1.39917630783178,Inf,-2.95942661583138,0.00308212098351825
