"subjID","correct","n","proportion"
"201","matching",52,0.742857142857143
"201","non-matching",15,0.214285714285714
"201","other",3,0.0428571428571429
"203","matching",58,0.805555555555556
"203","non-matching",5,0.0694444444444444
"203","other",9,0.125
"204","matching",46,0.666666666666667
"204","non-matching",17,0.246376811594203
"204","other",6,0.0869565217391304
"205","matching",46,0.676470588235294
"205","non-matching",14,0.205882352941176
"205","other",8,0.117647058823529
"206","matching",50,0.72463768115942
"206","non-matching",13,0.188405797101449
"206","other",6,0.0869565217391304
"207","matching",55,0.785714285714286
"207","non-matching",10,0.142857142857143
"207","other",5,0.0714285714285714
"208","matching",43,0.632352941176471
"208","non-matching",17,0.25
"208","other",8,0.117647058823529
"209","matching",43,0.632352941176471
"209","non-matching",19,0.279411764705882
"209","other",6,0.0882352941176471
"210","matching",68,0.971428571428571
"210","non-matching",2,0.0285714285714286
"211","matching",47,0.691176470588235
"211","non-matching",15,0.220588235294118
"211","other",6,0.0882352941176471
"212","matching",61,0.847222222222222
"212","non-matching",2,0.0277777777777778
"212","other",9,0.125
"213","matching",29,0.402777777777778
"213","non-matching",31,0.430555555555556
"213","other",12,0.166666666666667
"214","matching",54,0.771428571428571
"214","non-matching",9,0.128571428571429
"214","other",7,0.1
"215","matching",53,0.779411764705882
"215","non-matching",9,0.132352941176471
"215","other",6,0.0882352941176471
"216","matching",51,0.739130434782609
"216","non-matching",9,0.130434782608696
"216","other",9,0.130434782608696
"217","matching",50,0.735294117647059
"217","non-matching",14,0.205882352941176
"217","other",4,0.0588235294117647
"218","matching",52,0.787878787878788
"218","non-matching",12,0.181818181818182
"218","other",2,0.0303030303030303
"219","matching",45,0.714285714285714
"219","non-matching",11,0.174603174603175
"219","other",7,0.111111111111111
"220","matching",48,0.695652173913043
"220","non-matching",10,0.144927536231884
"220","other",11,0.159420289855072
"221","matching",49,0.7
"221","non-matching",11,0.157142857142857
"221","other",10,0.142857142857143
"222","matching",35,0.507246376811594
"222","non-matching",21,0.304347826086957
"222","other",13,0.188405797101449
"224","matching",33,0.5
"224","non-matching",24,0.363636363636364
"224","other",9,0.136363636363636
"226","matching",28,0.4375
"226","non-matching",24,0.375
"226","other",12,0.1875
"227","matching",47,0.652777777777778
"227","non-matching",21,0.291666666666667
"227","other",4,0.0555555555555556
"228","matching",51,0.728571428571429
"228","non-matching",17,0.242857142857143
"228","other",2,0.0285714285714286
"229","matching",61,0.847222222222222
"229","non-matching",5,0.0694444444444444
"229","other",6,0.0833333333333333
