"test_partner","c_norm","contrast","emmean","SE","df","lower.CL","upper.CL"
"A","-0.236250486445713",".",0.000581159364169507,2.00212516826817e-05,66.124499664349,0.000517894905161031,0.000644423823177982
"B","-0.236250486445713",".",0.000546660605061307,2.17599468521146e-05,56.8328490829026,0.000477450508085031,0.000615870702037583
"A","-0.10291715311238",".",0.000611837329121014,1.81463807201325e-05,49.7758153044189,0.000553736125109952,0.000669938533132076
"B","-0.10291715311238",".",0.000592042613258298,1.94174730987483e-05,41.4414709328488,0.000529194833637028,0.000654890392879568
"A","0.763749513554287",".",0.000811244101305812,3.22032913322953e-05,94.2189781011064,0.00071068498427478,0.000911803218336844
"B","0.763749513554287",".",0.000887025666538739,3.93976527791188e-05,100.326851721063,0.000764208810270259,0.00100984252280722
".",".","(A c_norm-0.236250486445713) - (B c_norm-0.236250486445713)",3.44987591081992e-05,2.23498813191697e-05,50.7544471075688,-3.69873390932441e-05,0.000105984857309643
".",".","(A c_norm-0.236250486445713) - (A c_norm-0.10291715311238)",-3.06779649515073e-05,4.90504051882388e-06,81.3125836409798,-4.60623821238507e-05,-1.52935477791639e-05
".",".","(A c_norm-0.236250486445713) - (B c_norm-0.10291715311238)",-1.08832490887915e-05,2.05375182180036e-05,40.5036907425144,-7.74563065320203e-05,5.56898083544373e-05
".",".","(A c_norm-0.236250486445713) - A c_norm0.763749513554287",-0.000230084737136305,3.67878038911792e-05,81.3125836409798,-0.000345467865928881,-0.000114701608343729
".",".","(A c_norm-0.236250486445713) - B c_norm0.763749513554287",-0.000305866302369232,4.14568219992666e-05,108.878170577735,-0.000434838539035328,-0.000176894065703136
".",".","(B c_norm-0.236250486445713) - (A c_norm-0.10291715311238)",-6.51767240597065e-05,2.10582885666548e-05,43.367971823578,-0.000133139161211515,2.7857130921024e-06
".",".","(B c_norm-0.236250486445713) - (B c_norm-0.10291715311238)",-4.53820081969907e-05,6.07999232201596e-06,87.1766096180746,-6.44102713880408e-05,-2.63537450059407e-05
".",".","(B c_norm-0.236250486445713) - A c_norm0.763749513554287",-0.000264583496244505,3.53825021620653e-05,106.102785552206,-0.000374727521559379,-0.00015443947092963
".",".","(B c_norm-0.236250486445713) - B c_norm0.763749513554287",-0.000340365061477431,4.55999424151198e-05,87.1766096180746,-0.000483077035410307,-0.000197653087544555
".",".","(A c_norm-0.10291715311238) - (B c_norm-0.10291715311238)",1.97947158627158e-05,1.89004998733431e-05,31.0970136241184,-4.27268609710355e-05,8.23162926964671e-05
".",".","(A c_norm-0.10291715311238) - A c_norm0.763749513554287",-0.000199406772184798,3.18827633723553e-05,81.3125836409798,-0.000299405483805031,-9.94080605645653e-05
".",".","(A c_norm-0.10291715311238) - B c_norm0.763749513554287",-0.000275188337417725,3.99861138602326e-05,99.9671360524861,-0.000399851321473132,-0.000150525353362317
".",".","(B c_norm-0.10291715311238) - A c_norm0.763749513554287",-0.000219201488047514,3.3323877442631e-05,94.0126258776473,-0.000323266127838495,-0.000115136848256532
".",".","(B c_norm-0.10291715311238) - B c_norm0.763749513554287",-0.000294983053280441,3.95199500931038e-05,87.1766096180746,-0.000418666764022266,-0.000171299342538615
".",".","A c_norm0.763749513554287 - B c_norm0.763749513554287",-7.57815652329268e-05,4.46455375369648e-05,95.480216853752,-0.000215142161673856,6.35790312080029e-05
