"subjID","correct","mean","sd","sem","n"
"201","matching",1547.71153846154,437.744904519608,60.7042961084052,52
"201","non-matching",1639.93333333333,794.563983458553,205.15553836208,15
"203","matching",1913.55172413793,979.342209824709,128.59393212104,58
"203","non-matching",2209.6,574.778044117901,257.0485557244,5
"204","matching",1909.65217391304,795.957151761082,117.357479471134,46
"204","non-matching",1672.94117647059,688.850988112472,167.070904958754,17
"205","matching",1774.04347826087,679.395056290578,100.171336101449,46
"205","non-matching",2518.28571428571,1876.95971140612,501.638583489986,14
"206","matching",1953.24,772.010959000147,109.178836851867,50
"206","non-matching",2453.38461538462,1443.95686330199,400.48157770719,13
"207","matching",2050.83636363636,1651.20642498522,222.648628924691,55
"207","non-matching",2998.9,2435.38002738336,770.134785461466,10
"208","matching",1607.74418604651,680.459231941518,103.769060040704,43
"208","non-matching",1723.58823529412,932.856437161121,226.250919056039,17
"209","matching",1529.53488372093,556.327513543579,84.8391504520886,43
"209","non-matching",1663.94736842105,1000.52788698346,229.536839450272,19
"210","matching",1735.98529411765,665.198803021851,80.6672037321626,68
"210","non-matching",4251.5,1023.18351237693,723.5,2
"211","matching",2245.25531914894,2033.45529951709,296.609939975409,47
"211","non-matching",3286.06666666667,2501.91125418339,645.99070807608,15
"212","matching",1747.80327868852,689.985889219776,88.3436404534249,61
"212","non-matching",2805.5,1042.98250225016,737.5,2
"213","matching",1936.55172413793,786.851392132271,146.114635357086,29
"213","non-matching",1827.32258064516,853.139667623724,153.228407674581,31
"214","matching",1522.14814814815,519.151972057167,70.6476350277605,54
"214","non-matching",2313.22222222222,723.815891262719,241.27196375424,9
"215","matching",1295.09433962264,335.999042131816,46.1530179134456,53
"215","non-matching",1605.22222222222,484.902510247621,161.63417008254,9
"216","matching",2024.39215686275,1540.56284621474,215.7219471748,51
"216","non-matching",2592.88888888889,1712.62287474829,570.874291582765,9
"217","matching",1436.08,770.031216965936,108.898859048389,50
"217","non-matching",1877.92857142857,940.005929955577,251.227152244971,14
"218","matching",1425.65384615385,444.904390901844,61.6971382336797,52
"218","non-matching",1410.58333333333,551.889886634732,159.316887305797,12
"219","matching",1672.22222222222,434.254946530098,64.7349053337891,45
"219","non-matching",2450.72727272727,937.469582536851,282.657714331441,11
"220","matching",1787.83333333333,916.744641428927,132.320691376785,48
"220","non-matching",1496.9,639.652066882197,202.27574413821,10
"221","matching",1899.22448979592,781.492356150134,111.641765164305,49
"221","non-matching",2556.27272727273,1124.03221403206,338.908464201527,11
"222","matching",1545.82857142857,526.530401653643,88.9998818402982,35
"222","non-matching",2163.66666666667,1890.33111737953,412.504068282007,21
"224","matching",1585.30303030303,681.062932336675,118.557838819482,33
"224","non-matching",1969.75,1110.52773392927,226.685524444667,24
"226","matching",1505.57142857143,588.296878226646,111.177659775954,28
"226","non-matching",1946.625,1313.39549368272,268.095732499457,24
"227","matching",1878.12765957447,1548.22916539062,225.832434046496,47
"227","non-matching",2236.33333333333,1910.02427558744,416.801467718221,21
"228","matching",1462.37254901961,368.988181967082,51.6686802450208,51
"228","non-matching",1820.88235294118,700.278505520566,169.84248503594,17
"229","matching",1483.08196721311,426.288137886491,54.5806031273905,61
"229","non-matching",2920.8,1097.29654150553,490.725931656357,5
